Species,Scientific,Link
Golden-crowned Kinglet,Regulus satrapa,https://ebird.org/species/gockin
White-breasted Nuthatch,Sitta carolinensis,https://ebird.org/species/wbnuth
Red-breasted Nuthatch,Sitta canadensis,https://ebird.org/species/rbnuth
Brown Creeper,Certhia americana,https://ebird.org/species/brncre
Northern House Wren,Troglodytes aedon,https://ebird.org/species/houwre
Pacific Wren,Troglodytes pacificus,https://ebird.org/species/pacwre
Marsh Wren,Cistothorus palustris,https://ebird.org/species/marwre
Bewick's Wren,Thryomanes bewickii,https://ebird.org/species/bewwre
European Starling,Sturnus vulgaris,https://ebird.org/species/eursta
Western Bluebird,Sialia mexicana,https://ebird.org/species/wesblu
Varied Thrush,Ixoreus naevius,https://ebird.org/species/varthr
Swainson's Thrush,Catharus ustulatus,https://ebird.org/species/swathr
Hermit Thrush,Catharus guttatus,https://ebird.org/species/herthr
American Robin,Turdus migratorius,https://ebird.org/species/amerob
Cedar Waxwing,Bombycilla cedrorum,https://ebird.org/species/cedwax
House Sparrow,Passer domesticus,https://ebird.org/species/houspa
Evening Grosbeak,Hesperiphona vespertina,https://ebird.org/species/evegro
House Finch,Haemorhous mexicanus,https://ebird.org/species/houfin
Purple Finch,Haemorhous purpureus,https://ebird.org/species/purfin
Red Crossbill,Loxia curvirostra,https://ebird.org/species/redcro
Pine Siskin,Spinus pinus,https://ebird.org/species/pinsis
Lesser Goldfinch,Spinus psaltria,https://ebird.org/species/lesgol
American Goldfinch,Spinus tristis,https://ebird.org/species/amegof
Chipping Sparrow,Spizella passerina,https://ebird.org/species/chispa
Fox Sparrow,Passerella iliaca,https://ebird.org/species/foxspa
Dark-eyed Junco,Junco hyemalis,https://ebird.org/species/daejun
White-crowned Sparrow,Zonotrichia leucophrys,https://ebird.org/species/whcspa
Golden-crowned Sparrow,Zonotrichia atricapilla,https://ebird.org/species/gocspa
White-throated Sparrow,Zonotrichia albicollis,https://ebird.org/species/whtspa
Savannah Sparrow,Passerculus sandwichensis,https://ebird.org/species/savspa
Song Sparrow,Melospiza melodia,https://ebird.org/species/sonspa
Lincoln's Sparrow,Melospiza lincolnii,https://ebird.org/species/linspa
Spotted Towhee,Pipilo maculatus,https://ebird.org/species/spotow
Western Meadowlark,Sturnella neglecta,https://ebird.org/species/wesmea
Bullock's Oriole,Icterus bullockii,https://ebird.org/species/bulori
Red-winged Blackbird,Agelaius phoeniceus,https://ebird.org/species/rewbla
Brown-headed Cowbird,Molothrus ater,https://ebird.org/species/bnhcow
Brewer's Blackbird,Euphagus cyanocephalus,https://ebird.org/species/brebla
Orange-crowned Warbler,Leiothlypis celata,https://ebird.org/species/orcwar
Nashville Warbler,Leiothlypis ruficapilla,https://ebird.org/species/naswar
MacGillivray's Warbler,Geothlypis tolmiei,https://ebird.org/species/macwar
Common Yellowthroat,Geothlypis trichas,https://ebird.org/species/comyel
Northern Yellow Warbler,Setophaga aestiva,https://ebird.org/species/yelwar
Yellow-rumped Warbler,Setophaga coronata,https://ebird.org/species/yerwar
Black-throated Gray Warbler,Setophaga nigrescens,https://ebird.org/species/btywar
Townsend's Warbler,Setophaga townsendi,https://ebird.org/species/towwar
Wilson's Warbler,Cardellina pusilla,https://ebird.org/species/wilwar
Western Tanager,Piranga ludoviciana,https://ebird.org/species/westan
Black-headed Grosbeak,Pheucticus melanocephalus,https://ebird.org/species/bhgros
Lazuli Bunting,Passerina amoena,https://ebird.org/species/lazbun
